158	长	長	chang2, zhang3	cháng, zhǎng	long; length | grow; chief (Kangxi radical 168)	2	0	0	0	0
159	唱歌	唱歌	chang4ge1	chànggē	sing (a song)	2	0	0	0	0
160	出	出	chu1	chū	go out; occur	2	0	0	0	0
161	穿	穿	chuan1	chuān	to wear; put on; penetrate	2	0	0	0	0
162	次	次	ci4	cì	(mw for number of times of occurrence); nth; order	2	0	0	0	0
163	从	從	cong2	cóng	from; obey; observe	2	0	0	0	0
164	错	錯	cuo4	cuò	mistake; error; blunder; miss an opportunity	2	0	0	0	0
165	打篮球	打籃球	da3 lan2qiu2	dǎ lánqiú	play basketball	2	0	0	0	0
166	大家	大家	da4jia1	dàjiā	everyone	2	0	0	0	0
167	到	到	dao4	dào	arrive (at a place); until (a time)	2	0	0	0	0
168	得	得	de5	de	(complement particle)	2	0	0	0	0
169	等	等	deng3	děng	to wait; rank; equal; etc.	2	0	0	0	0
170	弟弟	弟弟	di4di5	dìdi	younger brother	2	0	0	0	0
171	第一	第一	di4yi1	dìyī	first; number 1	2	0	0	0	0
172	懂	懂	dong3	dǒng	understand; know	2	0	0	0	0
173	对	對	dui4	duì	correct; a pair; to face; be opposite; to; towards	2	0	0	0	0
174	房间	房間	fang2jian1	fángjiān	room	2	0	0	0	0
175	非常	非常	fei1chang2	fēicháng	extremely; extraordinary; very	2	0	0	0	0
176	服务员	服務員	fu2wu4yuan2	fúwùyuán	waiter/waitress; server; attendant	2	0	0	0	0
177	高	高	gao1	gāo	high; tall (Kangxi radical 189)	2	0	0	0	0
178	告诉	告訴	gao4su5	gàosu	to tell; inform	2	0	0	0	0
179	哥哥	哥哥	ge1ge5	gēge	older brother	2	0	0	0	0
180	给	給	gei3	gěi	to give; to grant; (passive particle)	2	0	0	0	0
181	公共汽车	公共汽車	gong1gong4 qi4che1	gōnggòng qìchē	(public) bus	2	0	0	0	0
182	公司	公司	gong1si1	gōngsī	company; corporation	2	0	0	0	0
183	贵	貴	gui4	guì	expensive; noble; honorable; Guizhou province (abbreviation)	2	0	0	0	0
184	过	過	guo4	guò	to pass; to cross; go over; (indicates a past experience)	2	0	0	0	0
185	还	還	hai2	hái	still; yet; in addition; even	2	0	0	0	0
186	孩子	孩子	hai2zi5	háizi	child; children; son or daughter	2	0	0	0	0
187	好吃	好吃	hao3chi1	hǎochī	tasty	2	0	0	0	0
188	黑	黑	hei1	hēi	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)	2	0	0	0	0
189	红	紅	hong2	hóng	red; symbol of success; bonus; popular	2	0	0	0	0
190	火车站	火車站	huo3che1zhan4	huǒchēzhàn	train station	2	0	0	0	0
191	机场	機場	ji1chang3	jīchǎng	airport; airfield	2	0	0	0	0
192	鸡蛋	雞蛋	ji1dan4	jīdàn	(chicken) egg	2	0	0	0	0
193	件	件	jian4	jiàn	(mw for things, clothes, and items)	2	0	0	0	0
194	教室	教室	jiao4shi4	jiàoshì	classroom	2	0	0	0	0
195	姐姐	姐姐	jie3jie5	jiějie	older sister	2	0	0	0	0
196	介绍	介紹	jie4shao4	jièshào	to introduce; recommend; introduction	2	0	0	0	0
197	进	進	jin4	jìn	enter; come in	2	0	0	0	0
198	近	近	jin4	jìn	near; close (to)	2	0	0	0	0
199	就	就	jiu4	jiù	then; at once; just; only; with regard to	2	0	0	0	0
200	觉得	覺得	jue2de5	juéde	feel; think	2	0	0	0	0
201	咖啡	咖啡	ka1fei1	kāfēi	coffee	2	0	0	0	0
202	开始	開始	kai1shi3	kāishǐ	begin; to start; beginning	2	0	0	0	0
203	考试	考試	kao3shi4	kǎoshì	test; exam; to give or take a test	2	0	0	0	0
204	可能	可能	ke3neng2	kěnéng	possible; maybe	2	0	0	0	0
205	可以	可以	ke3yi3	kěyǐ	can; may; possible; okay	2	0	0	0	0
206	课	課	ke4	kè	class; subject; lesson; course	2	0	0	0	0
207	快	快	kuai4	kuài	fast; quick; swift	2	0	0	0	0
208	快乐	快樂	kuai4le4	kuàilè	happy	2	0	0	0	0
209	累	累	lei4	lèi	tired	2	0	0	0	0
210	离	離	li2	lí	leave; depart; go away; apart from	2	0	0	0	0
211	两	兩	liang3	liǎng	two; 2; both; (unit of weight equal to 50 grams)	2	0	0	0	0
212	零	零	ling2	líng	zero; remnant	2	0	0	0	0
213	路	路	lu4	lù	road; path; journey; route	2	0	0	0	0
214	旅游	旅游	lv3you2	lǚyóu	trip; journey; tour	2	0	0	0	0
215	卖	賣	mai4	mài	to sell	2	0	0	0	0
216	慢	慢	man4	màn	slow	2	0	0	0	0
217	忙	忙	mang2	máng	busy	2	0	0	0	0
218	每	每	mei3	měi	each; every	2	0	0	0	0
219	妹妹	妹妹	mei4mei5	mèimei	younger sister	2	0	0	0	0
220	门	門	men2	mén	door; opening; gate (Kangxi radical 169)	2	0	0	0	0
221	面条	面條	mian4tiao2	miàntiáo	noodles	2	0	0	0	0
222	男	男	nan2	nán	male	2	0	0	0	0
223	您	您	nin2	nín	you (polite)	2	0	0	0	0
224	牛奶	牛奶	niu2nai3	niúnǎi	cow's milk	2	0	0	0	0
225	女	女	nv3	nǚ	woman; female (Kangxi radical 38)	2	0	0	0	0
226	旁边	旁邊	pang2bian1	pángbiān	side, beside	2	0	0	0	0
227	跑步	跑步	pao3bu4	pǎobù	to run; to jog	2	0	0	0	0
228	便宜	便宜	pian2yi5	piányi	cheap	2	0	0	0	0
229	票	票	piao4	piào	ticket; bank note; a vote	2	0	0	0	0
230	妻子	妻子	qi1zi5	qīzi	wife	2	0	0	0	0
231	起床	起床	qi3chuang2	qǐ chuáng	get out of bed	2	0	0	0	0
232	千	千	qian1	qiān	one thousand	2	0	0	0	0
233	铅笔	鉛筆	qian1bi3	qiānbǐ	pencil	2	0	0	0	0
234	晴	晴	qing2	qíng	clear; fine (as of weather)	2	0	0	0	0
235	去年	去年	qu4nian2	qùnián	last year	2	0	0	0	0
236	让	讓	rang4	ràng	ask; let; yield	2	0	0	0	0
237	日	日	ri4	rì	sun; day; date; time (Kangxi radical 72)	2	0	0	0	0
238	上班	上班	shang4ban1	shàngbān	go to work; be on duty	2	0	0	0	0
239	身体	身體	shen1ti3	shēntǐ	health; (human) body	2	0	0	0	0
240	生病	生病	sheng1bing4	shēngbìng	get sick; fall ill	2	0	0	0	0
241	生日	生日	sheng1ri4	shēngrì	birthday	2	0	0	0	0
242	时间	時間	shi2jian1	shíjiān	time; period	2	0	0	0	0
243	事情	事情	shi4qing5	shìqing	matter; affair; thing; business	2	0	0	0	0
244	手表	手表	shou3biao3	shǒubiǎo	wristwatch	2	0	0	0	0
245	手机	手機	shou3ji1	shǒujī	mobile (cell) phone	2	0	0	0	0
246	说话	說話	shuo1hua4	shuōhuà	to talk; speak	2	0	0	0	0
247	送	送	song4	sòng	deliver; to carry; to give; send	2	0	0	0	0
248	虽然	雖然	sui1ran2	suīrán	although; even though	2	0	0	0	0
249	但是	但是	dan4shi4	dànshì	but; however	2	0	0	0	0
250	它	它	ta1	tā	it	2	0	0	0	0
251	踢足球	踢足球	ti1zu2qiu2	tīzúqiú	to play football/soccer	2	0	0	0	0
252	题	題	ti2	tí	topic; subject; question on a test or assignment	2	0	0	0	0
253	跳舞	跳舞	tiao4wu3	tiàowǔ	to dance	2	0	0	0	0
254	外	外	wai4	wài	outer; outside; in addition; foreign	2	0	0	0	0
